123834; PREDNISOLONA MG ; PREDNISOLONA; PREDNISOLONA; CPR 20 MG x 10; A4H
87348; PIOGLIT ; PIOGLIT; NOT FOUND; CPR 15 MG x 30; TNT

77107; PERICOR ; PERICOR; NOT FOUND; CPR 4 MG x 10; TNT

87350; PIOGLIT ; PIOGLIT; NOT FOUND; CPR 30 MG x 30; TNT

53151; PLAGEX ; PLAGEX; NOT FOUND; CPR 10 MG x 20; TTB

51976; PRESSOTEC ; PRESSOTEC; NOT FOUND; CPR 10 MG x 30; TTB

117558; POLISENG YNOV BRON ; POLISENG YNOV BRON; NOT FOUND; CAPS x 30; TTB

106878; PNEUMUCIL ; PNEUMUCIL; NOT FOUND; XAR PED 20 MG 120 ML x 1 (/ML); TTB

87185; POLARYN ; POLARYN; NOT FOUND; CREME. 10 MG 30 G x 1 (/G); TTB

98563; POLISENG KIDS ; POLISENG KIDS; NOT FOUND; LIQ LARANJA 120 ML x 1; TTB

54168; POLARYN ; POLARYN; NOT FOUND; XAROPE 2 MG 100 ML x 1 (/5ML); TTB

117562; POLISENG YNOV NOCE ; POLISENG YNOV NOCE; NOT FOUND; CAPS x 60; TTB

64111; PYLORITRAT ; PYLORITRAT; NOT FOUND; KIT 7X8 x 56; TTB

73712; PYLORITRAT IBP ; PYLORITRAT IBP; NOT FOUND; K7X8X56+28 x 1; TTB

77178; PLAVASC ; PLAVASC; NOT FOUND; CPR REVEST 250 MG x 30; TTB

64109; PAROX ; PAROX; NOT FOUND; CPR REVEST 20 MG x 30; TTB

113654; PROFERGAN CREME ; PROFERGAN CREME; NOT FOUND; CREME 20 MG 30 G x 1 (/G); TTB

66160; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 20; TTB

59824; PARKEXIN ; PARKEXIN; NOT FOUND; CPR 5 MG x 30; TTB

51975; PRESSOTEC ; PRESSOTEC; NOT FOUND; CPR 5 MG x 30; TTB

49451; PSIU ; PSIU; NOT FOUND; XAROPE 100 ML x 1; TTB

61933; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; TTB

56627; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); TTB

78201; PLAVASC ; PLAVASC; NOT FOUND; CPR REVEST 250 MG x 20; TTB

77811; PROSTAFLUX ; PROSTAFLUX; NOT FOUND; CPR 2 MG x 30; TTB

117563; POLISENG YNOV S HA ; POLISENG YNOV S HA; NOT FOUND; CAPS x 60; TTB

54612; PERMETEL ; PERMETEL; NOT FOUND; GEL. 60 G x 1; TTB

89930; PLANTA ACTIVE ; PLANTA ACTIVE; NOT FOUND; SACHETS 5 G x 10; TTB

56133; PARKINSOL ; PARKINSOL; NOT FOUND; CPR 2 MG x 75; TTB

53150; PLAGEX ; PLAGEX; NOT FOUND; AMP. 10 MG 2 ML x 100; TTB

159557; PREGABALINA MG ; PREGABALINA; PREGABALINA; CAPS GEL 150 MG x 28; TTB

53338; POLARYN ; POLARYN; NOT FOUND; CPR 2 MG x 20; TTB

68437; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM. 0.50 MG 30 G x 1 (/G); TTB

89928; PLANTA ACTIVE ; PLANTA ACTIVE; NOT FOUND; SACHETS 5 G x 30; TTB

73426; PENTOXIN ; PENTOXIN; NOT FOUND; CPR 400 MG x 20; TTB

58314; POLISENG ; POLISENG; NOT FOUND; CAPS x 50; TTB

92407; POLISENG FEMME ; POLISENG FEMME; NOT FOUND; CAPS x 30; TTB

59018; PROFERGAN ; PROFERGAN; NOT FOUND; CPR REVEST 25 MG x 20; TTB

78942; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 100 (/ML); TTB

92405; POLISENG CALCIO ; POLISENG CALCIO; NOT FOUND; CPR MAST x 75; TTB

117556; POLISENG MULHER ; POLISENG MULHER; NOT FOUND; CPR REVEST x 60; TTB

78730; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 20; TTB

46385; PANVERM ; PANVERM; NOT FOUND; SUSP 100 MG 30 ML x 1 (/5ML); TTB

51977; PRESSOTEC ; PRESSOTEC; NOT FOUND; CPR 20 MG x 30; TTB

67909; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 0.50 MG 30 G x 1 (/G); TTB

104620; POLISENG SELECT ; POLISENG SELECT; NOT FOUND; CAPS x 30; TTB

53146; PENCILIN-V ; PENCILIN V; NOT FOUND; CPR 500 K x 12; TTB

53152; PLAGEX ; PLAGEX; NOT FOUND; GOTAS 4 MG 10 ML x 1 (/ML); TTB

61934; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; TTB

58313; POLISENG ; POLISENG; NOT FOUND; CAPS x 30; TTB

61935; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; TTB

117566; POLISENG YNOV SLIM ; POLISENG YNOV SLIM; NOT FOUND; CAPS x 60; TTB

104621; POLISENG SELECT ; POLISENG SELECT; NOT FOUND; CAPS x 60; TTB

95842; POLISENG LIFE ; POLISENG LIFE; NOT FOUND; CAPS x 60; TTB

159381; PREGABALINA MG ; PREGABALINA; PREGABALINA; CAPS GEL 75 MG x 28; TTB

48491; PYR-PAM ; PYR PAM; NOT FOUND; DRAG 100 MG x 6; UCI

62385; PERIDONA ; PERIDONA; NOT FOUND; SUSP ORAL 1 MG 100 ML x 1 (/ML); UCI

8715; PROPAN ; PROPAN; NOT FOUND; ELIXIR 100 ML x 1; UCI

62384; PERIDONA ; PERIDONA; NOT FOUND; CPR 10 MG x 20; UCI

59979; PENTALAC ; PENTALAC; NOT FOUND; XAROPE 667 MG 120 ML x 1 (/ML); UCI

8848; PYR-PAM ; PYR PAM; NOT FOUND; LIQD 100 MG 40 ML x 1 (/5ML); UCI

58318; PROPAN ; PROPAN; NOT FOUND; CPR x 20; UCI

66927; PAXTRAT ; PAXTRAT; NOT FOUND; CPR REVEST 20 MG x 20; U_Q

59369; POLIDERMS ; POLIDERMS; NOT FOUND; CREME 20 G x 1; U_Q

28336; PANFUGAN ; PANFUGAN; NOT FOUND; CAPS 100 MG x 8; U_Q

72731; PROPARK ; PROPARK; NOT FOUND; CPR 2 MG x 75; U_Q

49557; PONDICILINA ; PONDICILINA; NOT FOUND; PAST CEREJA x 12; U_Q

70620; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; U_Q

49558; PONDICILINA ; PONDICILINA; NOT FOUND; PAST MENTA x 12; U_Q

31844; PANFUGAN ; PANFUGAN; NOT FOUND; SUSP ABACAXI 100 MG 40 ML x 1 (/5ML); U_Q

92116; PERFENOL ; PERFENOL; NOT FOUND; CAPS x 200; U_Q

73190; PAXTRAT ; PAXTRAT; NOT FOUND; CPR REVEST 20 MG x 30; U_Q

64613; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); U_Q

64614; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; U_Q

72817; PERFENOL ; PERFENOL; NOT FOUND; CAPS x 20; U_Q

64615; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; U_Q

72479; PREDI-MEDROL ; PREDI MEDROL; NOT FOUND; AMP. 40 MG 2 ML x 1 (/ML); U_Q

57793; PRO HAIR ; PRO HAIR; NOT FOUND; CPR REVEST 1 MG x 30; U_Q

92534; PONDICILINA ; PONDICILINA; NOT FOUND; PAST HORTELA x 12; U_Q

31845; PANFUGAN ; PANFUGAN; NOT FOUND; SUSP MORANGO 100 MG 40 ML x 1 (/5ML); U_Q

53537; PONDICILINA ; PONDICILINA; NOT FOUND; PAST MEL LIM x 12; U_Q

70619; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; U_Q

160502; PROCTS H ; PROCTS H; NOT FOUND; POM C/APLIC 20 G x 1; U_Q

58882; PILEM ; PILEM; NOT FOUND; CPR 0.75 MG x 2; U_Q

92537; PONDICILINA ; PONDICILINA; NOT FOUND; PAST LARA x 12; U_Q

95775; PROSTMAN ; PROSTMAN; NOT FOUND; CPR 50 MG x 20; U_Q

59980; PERMITRAT ; PERMITRAT; NOT FOUND; LIQD 60 ML x 1; VAP

59981; PREDCORT ; PREDCORT; NOT FOUND; CPR 5 MG x 20; VAP

159947; PEPTOVIT ; PEPTOVIT; NOT FOUND; CPR REVEST 40 MG x 28; VAP

57798; PULMOTRAT ; PULMOTRAT; NOT FOUND; XAR. AD 250 MG 100 ML x 1 (/5ML); VAP

73991; PREDCORT ; PREDCORT; NOT FOUND; CPR 5 MG x 500; VAP

59982; PREDCORT ; PREDCORT; NOT FOUND; CPR 20 MG x 10; VAP

75690; PREDCORT ; PREDCORT; NOT FOUND; CPR 20 MG x 20; VAP

62572; PEPTOVIT ; PEPTOVIT; NOT FOUND; CPR REVEST 40 MG x 14; VAP

76737; PILEXIL ; PILEXIL; NOT FOUND; SHAMPOO 300 ML x 1; VLT

8726; PROSTIGMINE ; PROSTIGMINE; NOT FOUND; AMP. 0.50 MG 1 ML x 50; VLT

69151; PILEXIL ; PILEXIL; NOT FOUND; LOC.CAPILAR 125 ML x 1; VLT

73703; PILEXIL ; PILEXIL; NOT FOUND; K.L125+S150 275 ML x 1; VLT

72727; PILEXIL ; PILEXIL; NOT FOUND; SHAMPOO 150 ML x 1; VLT

30189; PROSTIGMINE ; PROSTIGMINE; NOT FOUND; AMP. 0.50 MG 1 ML x 1; VLT

63643; PROTAMINA ; PROTAMINA; NOT FOUND; AMP. 1000 IU 5 ML x 25; VLT

44545; PIPUROL ; PIPUROL; NOT FOUND; XAROPE 200 MG 120 ML x 1 (/5ML); ZAM

7978; PANOTIL ; PANOTIL; NOT FOUND; GOTAS OTO. 8 ML x 1; ZAM

32259; PIPUROL ; PIPUROL; NOT FOUND; CAPS 200 MG x 20; ZAM

32260; PIPUROL ; PIPUROL; NOT FOUND; CAPS 400 MG x 20; ZAM

61822; PAREXEL ; PAREXEL; NOT FOUND; F.AMP 150 MG 25 ML x 1; ZD1

90921; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 150 MG x 14; ZD1

52684; PROLEUKIN ; PROLEUKIN; NOT FOUND; F.INFUSAO 1 MG 1.20 ML x 1; ZD1

113291; PARATRAM ; PARATRAM; NOT FOUND; CPR 37.5 MG x 30 (/325); ZD1

164082; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 50 MG x 14; ZD1

72443; PARATRAM ; PARATRAM; NOT FOUND; CPR 37.5 MG x 10 (/325); ZD1

8844; PYRIDIUM ; PYRIDIUM; NOT FOUND; DRAG 100 MG x 25; ZD1

57783; PAREXEL ; PAREXEL; NOT FOUND; F.AMP 100 MG 16.5 ML x 1; ZD1

113382; PEMEKER ; PEMEKER; NOT FOUND; F.A PO LIOF 500 MG x 1; ZD1

79625; PARATRAM ; PARATRAM; NOT FOUND; CPR 37.5 MG x 20 (/325); ZD1

57782; PAREXEL ; PAREXEL; NOT FOUND; F.AMP 30 MG 5 ML x 1; ZD1

90918; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 75 MG x 14; ZD1

77486; PAMIGEN ; PAMIGEN; NOT FOUND; F.AMP 1 G 10 ML x 1; ZD1

90920; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 75 MG x 28; ZD1

78442; PYRIDIUM ; PYRIDIUM; NOT FOUND; DRAG 100 MG x 12; ZD1

90916; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 150 MG x 28; ZD1

164083; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 50 MG x 28; ZD1

8845; PYRIDIUM ; PYRIDIUM; NOT FOUND; DRAG 200 MG x 18; ZD1

65432; PAREXEL ; PAREXEL; NOT FOUND; F.AMP 300 MG 50 ML x 1; ZD1

77487; PAMIGEN ; PAMIGEN; NOT FOUND; F.AMP 200 MG 10 ML x 1; ZD1

